"ID";"CODE_COMMUNE";"COMMUNE_AR";"COMMUNE_FR"
2143;"72110525";إيمي نتليت;Imi N'Tlit
2144;"72110521";ايدا وكازو;Ida Ou Kazzou
2145;"71610103";إمنتانوت;Imintanoute
2146;"64670723";لمشرك;Lmechrek
2147;"102610717";تلوين أسكا;Taliouine Assaka
2148;"71610315";سيدي امحمد دليل;Sidi M'Hamed Dalil
2149;"74270725";سكورة الحدرة;Skoura Lhadra
2150;"32710303";بن صميم;Ben Smim
2151;"42910503";أيت إيكو;Ait Ikkou
2152;"104730103";سيدي إفني;Sidi Ifni
2153;"102610505";أسرير;Asrir
2154;"42810509";المكرن;Mograne
2155;"64610713";أولاد بوعلي النواجة;Oulad Bouali Nouaja
2156;"83630103";ميدلت;Midelt
2157;"100710103";الزاك;Zag
2158;"95410517";لكفيفات;Lagfifat
2159;"95810309";سيدي أحمد أوموسى;Sidi Ahmed Ou Moussa
2160;"95811109";وجان;Ouijjane
2161;"104730707";إبضر;Ibdar
2162;"10510107";تارجيست;Targuist
2163;"61170525";الساحل اولاد احريز;Sahel Oulad H'Riz
2164;"73510303";حربيل;Harbil
2165;"42910311";مجمع الطلبة;Majmaa Tolba
2166;"12270305";أنجرة;Anjra
2167;"21670919";اولاد امغار;Oulad Amghar
2168;"53110103";بوجنيبة;Boujniba
2169;"61170511";لغنيميين;Laghnimyine
2170;"95410459";تكوكة;Tigouga
2171;"42910509";المعازيز;Maaziz
2172;"22510503";بني كيل;Bni Guil
2481;"61410181";مشور الدار البيظاء;Mechouar de Casablanca
2483;"11510507";بني صالح;Bni Salah
2486;"64610914";مزامزة الجنوبية;Mzamza Janoubia
2487;"85870337";تمزموط;Tamezmoute
2631;"71610911";سيدي عبد المومن;Sidi Abdelmoumen
2641;"71610715";الزاوية النحلية;Zaouia Annahlia
2642;"35310517";سيدي العابد;Sidi El Abed
2643;"23810711";اولاد داوود أزخانين;Oulad Daoud Zkhanine
2644;"34510713";تازوطة;Tazouta
2645;"85770701";ايت الفرسي;Ait El Farsi
2647;"34510307";دار الحمراء;Dar El Hamra
2648;"95410703";أهل تفنوت;Ahl Tifnoute
2651;"50810519";تاونزة;Taounza
2653;"61170805";الفقرا أولاد عمرو;Foqra Oulad Aameur
2655;"64610715";أولاد فارس الحلة;Oulad Fares El Halla
2656;"85770505";ايت سدرات الجبل  العليا;Ait Sedrate JbelEl Oulia
2658;"14050709";ونانة;Ounnana
2660;"63710103";عين حرودة;Ain Harrouda
2672;"64610721";سيدي بومهدي;Sidi Boumehdi
2675;"71910503";بوي عمر;Bouya Omar
2679;"102610509";فاصك;Fask
2681;"82011301";اغبالو انكردوس;Aghbalou N'Kerdous
2682;"85870331";تاغبالت;Taghbalte
2683;"24110511";مستفركي;Mestferki
2684;"72110551";تمزكدة أوفتاس;Timizguida-Ouftas
2685;"111210301";كلتة زمور;Gueltat Zemmour
2686;"32710103";ايفران;Ifrane
2687;"73510501";أكفاي;Agafay
2688;"90010723";تغازوت;Taghazout
2689;"53010717";أم الربيع;Oum Rabia
2743;"105210103";الوطية;El Ouatia
2744;"64670701";بني هلال;Bni Hilal
2745;"90010715";إمسوان;Imsouane
2746;"70410319";تمازوزت;Tamazouzte
2747;"104730705";بوطروش;Boutrouch
2748;"95510703";إسافن;Issafen
2749;"23810701";افسو;Afsou
2750;"34510311";امطر ناغة;Mtarnagha
2751;"53110307";بوخريص;Boukhrisse
2752;"123910101";الداخلة;Dakhla
2753;"64610333";سيدي حجاج;Sidi Hajjaj
2754;"23810713";اولاد ستوت;Oulad Settout
2755;"83630107";الريش;Er-rich
2756;"11510303";باب برد;Bab Berred
2757;"72110321";مولاي بوزرقطون;Moulay Bouzarqtoune
2758;"61810511";سيدي محمد اخديم;Sidi M'Hamed Akhdim
2759;"82011101";بني امحمد سجلماسة;Bni M'Hamed-Sijelmassa
2760;"72110319";المواريد;Mouarid
2761;"111210303";جريفية;Jraifia
2762;"44810721";توغيلت;Taoughilt
2763;"104730507";ميراللفت;Mirleft
2764;"95410303";آيت عبدالله;Ait Abdallah
2765;"82010309";فزنا;Fezna
2766;"22750135";تويسيت;Touissit
2767;"42910902";عين الجوهرة - سيدي بوخلخال;Ain Johra -Sidi Boukhalkhal
2768;"74270709";لبريكيين;Labrikiyne
2769;"53110503";بني يخلف;Bni Ykhlef
2770;"92730519";اولاد دحو;Oulad Dahou
2771;"64610925";سيدي العايدي;Sidi El Aidi
2772;"82010111";الجرف;Jorf
1759;"70410519";تزكين;Tizguine
1760;"11510703";بني منصور;Bni Mansour
1761;"25330315";أولاد امحمد;Oulad M'hammed
1762;"45010505";صباح;Sabbah
1763;"85770111";تنغير;Tinghir
1764;"111210101";بوجدور;Boujdour
1765;"91630531";سيدي وساي;Sidi Ouassay
1766;"35910303";ميكس;Mikkes
1767;"85770301";أيت هاني;Ait Hani
1768;"71910807";المربوح;El Marbouh
1769;"11510711";تاسيفت;Tassift
1770;"64610711";أولاد عامر;Oulad Amer
1771;"11510511";فيفي;Fifi
1772;"72110501";أدغاس;Adaghas
1773;"31710507";القصير;Laqsir
1774;"23810109";ازغنغان;Zeghanghane
1775;"74310111";سبت كزولة;Sebt Gzoula
1776;"13310701";بوجديان;Bou Jedyane
1778;"13311109";ريصانة الجنوبية;Rissana Janoubia
1779;"82010703";شرفاء مدغرة;Chorfa M'Daghra
1780;"50910309";سيدي جابر;Sidi Jaber
1809;"35310319";تبودة;Tabouda
1810;"21670917";وردانة;Ouardana
1811;"85770511";ايت سدرات السهل الغربية;Ait Sedrate Sahl El Gharbia
1812;"74270909";أنزالت  لعظم;Nzalat Laadam
1813;"31710103";عين تاوجطات;Ain Taoujdate
1814;"61110504";سيدي بطاش;Sidi Bettache
1815;"120660309";الزوك;Zoug
1816;"34510301";العدرج;Adrej
1817;"50811317";سيدي يعقوب;Sidi Yacoub
1818;"22650501";الصباب;Assebbab
2025;"42910101";الخميسات;Khémisset
2026;"85770503";ايت واسيف;Ait Ouassif
2027;"12270505";القصر الصغير;Ksar Sghir
2028;"50811521";تفني;Tifni
2029;"70410709";أمكدال;Imgdal
2030;"61110105";المنصورية;El Mansouria
2031;"42910707";الزحيلكة;Ezzhiliga
2032;"22750117";جرادة;Jerada
2033;"31310103";ميسور;Missour
2034;"95510303";قصبة سيدي عبدالله بن مبارك;Kasbat Sidi Abdellah Ben M'Barek
2035;"44210107";التواركة;Touarga
2036;"85870935";تامكروت;Tamegroute
2037;"53010715";مولاي بوعزة;Moulay Bouazza
2038;"83630503";أكديم;Agoudim
2039;"102610301";أداي;Aday
2040;"23810115";راس الماء;Ras El Ma
2041;"1410121";عين السبع الحي المحمدي;ARRONDISSEMENTS D'AIN SEBAA - HAY MOHAMMADI
2042;"25330113";دبدو;Debdou
2043;"21670313";تزاغين;Tazaghine
2044;"95410107";أولاد برحيل;Oulad Berhil
2045;"42910701";عين السبيت;Ain Sbit
2046;"22510311";تالسينت;Talsint
2047;"102610309";تكانت;Tagante
2048;"61810911";اولاد سيدي علي بن يوسف;Oulad Sidi Ali Ben Youssef
2049;"74310707";لعمامرة;Laamamra
2050;"64610321";أولاد فارس;Oulad Fares
2051;"84010305";ازناكن;Iznaguen
2052;"70411117";تمكرت;Tamaguert
2053;"21670307";دار الكبداني;Dar El Kebdani
2323;"73510713";تسلطانت;Tassoultante
2324;"50810307";أيت امحمد;Ait M'Hamed
2325;"35611111";الطايفة;Taifa
2326;"13310901";عياشة;Ayacha
2327;"112210309";تفاريتي;Tifariti
2328;"35310901";عين عائشة;Ain Aicha
2329;"35310913";واد الجمعة;Oued Jemaa
2330;"15730305";بليونش;Belyounech
2331;"61810305";لغديرة;Laghdira
2332;"12270311";جوامعة;Jouamaa
2333;"82011109";سيدي علي;Sidi Ali
2334;"84010303";امرزكان;Amerzgane
2335;"95410701";أكادير ملول;Agadir Melloul
2336;"61170533";السوالم الطريفية;Soualem Trifiya
2337;"120660307";تشلا;Tichla
2338;"91630729";سيدي بوالسحاب;Sidi Boushab
2339;"21670113";ميضار;Midar
2340;"74270101";ابن جرير;Ben Guerir
2341;"35910505";الوادين;Louadaine
2342;"35310503";بوشابل;Bouchabel
2343;"13310711";سوق القلة;Souk L'Qolla
2344;"42910919";أيت علي أولحسن;Ait Ali ou Lahcen
2345;"34510303";عين تمكناي;Ain Timguenai
2346;"14050711";سيدي أحمدالشريف;Sidi Ahmed Cherif
2347;"102610311";تغجيجت;Taghjijt
2348;"10510707";بني ابشير;Bni Bchir
2349;"71610517";تمزكدوين;Timezgadiouine
2350;"50810521";تسقي;Tisqi
2351;"42910715";مولاي ادريس أغبال;Moulay Driss Aghbal
2014;"35310909";البسابسا;El Bsabsa
2015;"83630513";أنمزي;Anemzi
2016;"74310907";حرارة;Hrara
2017;"72110515";الزاويت;Ezzaouite
2018;"75850715";رأس العين;Ras El Ain
2019;"34510313";اولاد مكودو;Oulad Mkoudou
2020;"102610715";راس أمليل;Rass Oumlil
2021;"35310307";ودكة;Oudka
2022;"14050909";مقريصات;Moqrisset
2023;"30610301";عين الجمعة;Ain Jemaa
2024;"53110301";عين قيشر;Ain Kaicher
2384;"35910507";اولاد ميمون;Oulad Mimoun
2386;"104730515";اثنين أملو;Tnine Amellou
2388;"45010107";تمارة;Témara
2390;"95410307";أزغار نيرس;Azaghar N'Irs
2392;"13311103";أولاد أوشيح;Oulad Ouchih
2395;"31710701";ايت  بورزوين;Ait Bourzouine
2398;"50810305"; أيت بواولي;Ait Bou Oulli
2400;"35310721";الزريزر;Zrizer
2404;"31710301";ايت ويخلفن;Ait Ouikhalfen
2409;"14051111";زومي;Zoumi
2411;"53010309";واو مانة;Ouaoumana
2413;"71610503";عين تزيتونت;Ain Tazitounte
2417;"72110325";المخاليف;M'Khalif
2419;"42811111";سيدي بوبكر الحاج;Sidi Boubker El Haj
2421;"95410319";سيدي مزال;Sidi Mzal
2422;"21670915";امهاجر;M'Hajer
2423;"14050715";سيدي رضوان;Sidi Redouane
2424;"112210305";الجديرية;Jdiriya
2425;"31710305";جحجوح;Jahjouh
2426;"64671109";سانية بركيك;Saniat Berguig
2427;"50811101";أفورار;Afourar
2428;"83631507";إملشيل;Imilchil
2429;"23810513";ايعزانن;Iaazzanene
2430;"42910705";البراشوة;Brachoua
2432;"44910315";الصفافعة;Sfafaa
2433;"35610107";تاهلة;Tahla
2434;"71910821";اولاد الشرقي;Oulad Cherki
2435;"53110713";أولاد عيسى;Oulad Aissa
2436;"95410315";والقاضي;Oualqadi
2438;"52551107";اولاد ناصر;Ouled Nacer
2573;"24110517";سيدي بولنوار;Sidi Boulenouar
2574;"30610111";ويسلان;Ouislane
2575;"71610707";كماسة;Gmassa
2576;"64610113";اولاد امراح;Oulad M'Rah
2577;"100710303";عوينة يغمان;Aouint Yghomane
2578;"63550101";لهراويين;Lahraouyine
2579;"50811125";تيموليلت;Timoulilt
2580;"85870715";الروحا;Errouha
2691;"95410449";تافنكولت;Tafingoult
2692;"73510505";الاوداية;Loudaya
2693;"72110323";المزيلات;Mzilate
2694;"95410423";إكلي;Igli
2695;"61810913";اولاد فرج;Ouled Frej
2696;"31310102";ايموزار مرموشة;Imouzzer Marmoucha
2697;"31710307";راس ايجيري;Ras Ijerri
2698;"24110123";وجدة;Oujda
2699;"71610311";سيدي المختار;Sid L'Mokhtar
2700;"72110311";لكدادرة;Lagdadra
2701;"35610913";الزراردة;Zrarda
2702;"74310109";جمعة سحيم;Jamaat Shaim
2703;"31310101";بولمان;Boulemane
2704;"14050701";بني كلة;Bni Quolla
2705;"70410501";أمغراس;Amghras
2706;"92730527";تمسية;Temsia
2707;"44810909";ثكنة;Tekna
2708;"50911107";سمكت;Semguet
2709;"42910909";خميس سيدي يحيى;Khemis Sidi Yahya
2710;"70410913";اغواطيم;Aghouatim
2711;"44810107";مشرع بلقصيري;Mechraa Bel Ksiri
2712;"13310913";تازروت;Tazroute
2953;"15710519";أولاد علي منصور;Oulad Ali Mansour
2954;"31710703";ايت نعمان;Ait Naamane
2955;"21670305";أمجاو;Amejjaou
2956;"71910711";اجبيل;Jbiel
2957;"83630501";أغبالو;Aghbalou
2958;"50810923";تيلوكيت;Tilougguite
2959;"21670925";تمسمان;Temsamane
2960;"34510315";راس تابودة;Ras Tabouda
2961;"61110305";فضالات;Fdalate
2962;"61170107";الكارة;El Gara
2963;"63850101";بوسكورة;Bouskoura
2964;"35310917";أولاد داود;Oulad Daoud
2965;"52550907";برادية;Bradia
2966;"95410709";أساكي;Assaki
2967;"95510711";تزغت;Tizaghte
2968;"34510107";رباط الخير;Ribate El Kheir
2969;"50810301";أكودي نلخير;Agoudi N'Lkhair
2970;"72110315";مجي;Mejji
2971;"42910913";سيدي عبدالرزاق;Sidi Abderrazak
2972;"73510311";اولاد دليم;Ouled Dlim
2973;"72110329";أولاد امرابط;Oulad M'Rabet
2974;"95510509";تسينت;Tissint
2975;"50910101";بني ملال;Béni Mellal
2976;"74270915";سيدي بوبكر;Sidi Boubker
2977;"24110111";بني درار;Bni Drar
2978;"61170113";سيدي رحال الشاطئ;Sidi Rahal Chatai
2979;"10510301";بني بوفراح;Bni Boufrah
2980;"53110501";بئر مزوي;Bir Mezoui
2981;"85770103";بومالن دادس;Boumalne Dades
2982;"22750103";عين بني مطهر;Ain Bni Mathar
1753;"104730501";أربعاء أيت عبد الله;Arbaa Ait Abdellah
1777;"64610311";مريزيك;Mrizigue
1781;"72110327";امرامر;M'Ramer
1782;"95410503";أركانة;Argana
1783;"95410105";إيغرم;Irherm
1784;"25330907";كطيطير;Gteter
1785;"11510919";ووزكان;Ouaouzgane
1786;"13311113";سوق الطلبة;Souk Tolba
1787;"71910109";تملالت;Tamallalt
1788;"72110343";سيدي لعروسي;Sidi Laaroussi
1789;"50910703";أيت ام البخت;Ait Oum El Bekht
1790;"74310303";الكرعاني;El Gouraani
1791;"71910829";اولاد أصبيح;Oulad Sbih
1792;"50810311";تامدة نومرصيد;Tamda Noumercid
1793;"42810503";بنمنصور;Ben Mansour
1794;"35910509";سيدي داود;Sidi Daoud
1795;"104730503";امي نفاست;Imi N'Fast
1796;"21130311";مداغ;Madagh
1797;"30610309";دار أم السلطان;Dar Oum Soltane
1798;"91630503";أيت  ميلك;Ait Milk
1799;"25330133";تاوريرت;Taourirt
1800;"52551103";احد بوموسى;Had Boumoussa
1801;"21670109";الدريوش;Driouch
1802;"15730101";الفنيدق;Fnideq
1803;"71610703";اسيف المال;Assif El Mal
1804;"24110301";أهل أنكاد;Ahl Angad
1805;"123910503";اكليبات الفولة;Gleibat El Foula
1806;"53110709";لكناديز;Lagnadiz
1807;"15710527";الزينات;Zinat
1808;"95410719";تسوسفي;Tassousfi
2263;"21670301";عين الزهرة;Ain Zohra
2265;"34510707";كندر سيدي اخيار;Kandar Sidi Khiar
2266;"95410911";بونرار;Bounrar
2267;"35610705";بوحلو;Bouhlou
2269;"63850303";اولاد عزوز;Oulad Azzouz
2271;"85870917";فزواطة;Fezouata
2273;"120660305";أوسرد;Aousserd
2275;"120660303";اغوينيت;Aghouinite
2279;"53110515";أولاد عزوز;Oulad Azzouz
2281;"25330911";ملك الويدان;Melg El Ouidane
2282;"74310905";البدوزة;El Beddouza
2283;"35310715";مزراوة;Mezraoua
2284;"72110503";أكليف;Aglif
2285;"82010101";أرفود;Arfoud
2286;"72110309";الكريمات;Korimate
2287;"72110335";سيدي عيسى الركراكي;Sidi Aissa Regragui
2288;"85870745";تنزولين;Tinzouline
2289;"71910305";العامرية;El Aamria
2291;"32318105";سيدي حرازم;Sidi Harazem
2292;"13311107";ريصانة الشمالية;Rissana Chamalia
2293;"10510913";اساكن;Issaguen
2295;"95410301";اضار;Adar
2297;"15710523";الزيتون;Zaitoune
2299;"50910713";تاكزيرت;Taghzirt
2311;"30610103";المشور - استينية;Machouar - Stinia
2315;"85770305";أسول;Assoul
2317;"120660103";الكويرة;Lagouira
2319;"61170809";قصبة بن مشيش;Kasbat Ben Mchich
2321;"71910505";الشعراء;Choara
2322;"61810703";حوزية;Haouzia
2893;"14050713";سيدي بوصبر;Sidi Bousber
2894;"61810915";سبت سايس;Sebt Saiss
2895;"64670713";كرديد;Kridid
2896;"53110105";حطان;Hattane
2897;"35310919";أوطابوعبان;Outa Bouabane
2898;"44811103";دار العسلوجي;Dar Laaslouji
2899;"34510101";البهاليل;Bhalil
2900;"15110317";العوامة;Laaouama
2901;"91630325";سيدي عبد الله البوشواري;Sidi Abdallah El Bouchouari
2902;"53010101";خنيفرة;Khenifra
2903;"15710317";صدينة;Saddina
2904;"15110301";المنزلة;Al Manzla
2905;"83630525";تيزي نغشو;Tizi N'Ghachou
2907;"85770515";اغيل نومكون;Ighil N'Oumgoun
2908;"75850705";اسبيعات;Esbiaat
2909;"31310709";تيساف;Tissaf
2910;"85870301";افلا ندرا;Afella N'Dra
2911;"22650713";راس القصر;Ras Laksar
2912;"90010511";إضمين;Idmine
2913;"23810717";تزطوطين;Tiztoutine
2914;"30610705";المغاصيين;MRhassiyine
2915;"83631505";بوازمو;Bou Azmou
2916;"61810919";سيدي اسماعيل;Sidi Smail
2917;"85770731";تودغىالعليا;Toudgha El Oulia
2918;"83630913";زاوية سيدي حمزة;Zaouiat Sidi Hamza
2919;"85870327";اولاد يحيى لكراير;Oulad Yahia Lagraire
2920;"50810511";مولاي عيسى بن ادريس;Moulay Aissa Ben Driss
2928;"74270903";بوروس;Bourrous
2931;"13310915";زعرورة;Zaaroura
2933;"50810517";تنانت;Tanant
1909;"95410509";الدير;Eddir
1910;"71910813";لوناسدة;Lounasda
1911;"71910629";سور العز;Sour El Aaz
1912;"83630907";كير;Guir
1913;"61810301";شتوكة;Chtouka
1914;"21130515";سيدي بوهرية;Sidi Bouhria
1915;"22750501";بني مطهر;Bni Mathar
1916;"44810301";عين الدفالي;Ain Dfali
1917;"75850701";اطياميم;Atiamim
1918;"95410765";تيسراس;Tisrasse
1919;"85870713";بوزروال;Bouzeroual
1920;"21130503";بوغريبة;Boughriba
1921;"64610923";ريما;Rima
1922;"102610711";لبيار;Labyar
1923;"64610913";مشرع بن عبو;Machraa Ben Abbou
1924;"44810507";انويرات;Nouirate
1925;"74270901";عكرمة;Akarma
1926;"35610707";غياثةالغربية;Ghiata Al Gharbia
1927;"53110703";بني سمير;Bni Smir
1928;"10510705";بني عمارت;Bni Ammart
1929;"21130309";لعثامنة;Laatamna
1930;"42811107";مولاي بوسلهام;Moulay Bousselham
1931;"95410447";سيدي واعزيز;Sidi Ouaaziz
1932;"64670715";لعكاكشة;Laagagcha
1933;"95410529";سيدي موسىالحمري;Sidi Moussa Lhamri
1934;"72110303";أقرمود;Aquermoud
1935;"50910517";تيزي نيسلي;Tizi N'Isly
1936;"91630103";أيت  بها;Ait Baha
1937;"71910625";اولاد خلوف;Oulad Khallouf
1938;"85770723";واكليم;Ouaklim
2264;"74310301";بوكدرة;Bouguedra
2268;"50911103";اولاد يوسف;Ouled Youssef
2270;"50910707";ديرالقصيبة;Dir El Ksiba
2272;"84010701";غسات;Ghassate
2274;"35610301";أجدير;Ajdir
2276;"21670303";ايت مايت;Ait Mait
2277;"64610919";أولاد سعيد;Oulad Said
2278;"50910311";فم العنصر;Foum El Anceur
2280;"75850113";اليوسفية;Youssoufia
2290;"21130505";شويحية;Chouihia
2294;"44410301";السهول;Shoul
2296;"95410531";تالماكانت;Talmakante
2298;"45010109";عين عتيق;Ain Attig
2300;"22750307";لعوينات;Laaouinate
2301;"53010301";آيت إسحاق;Ait Ishaq
2302;"64610109";لولاد;Loulad
2303;"95510107";طاطا;Tata
2304;"21130107";اكليم;Aklim
2305;"35310103";قرية با محمد;Karia Ba Mohamed
2306;"50810903";أيت مزيغ;Ait Mazigh
2307;"34510711";سيدي يوسف بن احمد;Sidi Youssef Ben Ahmed
2308;"30610701";شرقاوة;Charqaoua
2309;"52550105";الفقيه بن صالح;Fquih Ben Salah
2310;"50910301";فم أودي;Foum Oudi
2312;"115370501";أخفنير;Akhfennir
2313;"64670733";اولاد سي بوحيى;Oulad Si Bouhya
2314;"64610709";مسكورة;Meskoura
2316;"73510107";مراكش;Marrakech
2318;"15710303";الخروب;AL Kharroub
2320;"70410515";اولاد امطاع;Oulad Mtaa
2833;"95510103";فم الحصن;Fam El Hisn
2834;"95410533";تدسي نسندالن;Tidsi Nissendalene
2835;"74310705";خط أزكان;Khatazakane
2836;"74270715";سيدي عبد الله;Sidi Abdallah
2837;"50810515";تابية;Tabia
2838;"53110715";أولاد بوغادي;Oulad Boughadi
2839;"35610303";بورد;Bourd
2840;"22750313";رأس عصفور;Ras Asfour
2841;"113210305";فم الواد;Foum El Oued
2842;"95810905";آملن;Ammelne
2843;"75850107";الشماعية;Echemmaia
2844;"31710105";الحاجب;El Hajeb
2845;"35610907";مطماطة;Matmata
2846;"95811111";الركادة;Reggada
2847;"82010701";اوفوس;Aoufous
2848;"15710515";بني سعيد;Bni Said
2849;"95510511";تليت;Tlite
2850;"63710301";بني يخلف;Bni Yakhlef
2851;"104730511";تنكرفا;Tangarfa
2852;"74310103";اسفي;Safi
2853;"42810901";بحارة اولاد عياد;Bahhara Ouled Ayad
2854;"61810509";سيدي عابد;Sidi Abed
2855;"52550109";أولاد عياد;Ouled Ayad
2856;"22510101";بوعرفة;Bouarfa
2857;"71910521";واركي;Ouargui
2858;"15110107";طنجة;Tanger
2859;"95410311";امي نتيارت;Imi N'Tayart
2860;"83630709";ايت إزدك;Ait Izdeg
2861;"71910731";زمران;Zemrane
2862;"64610315";انخيلة;N'Khila
1;"85330709";;MECHRAA HAMMADI
2;"114310905";;EL BEDDOUZA
3;"114310711";;NAGGA
4;"162270505";;KSAR SGHIR
5;"45810701";;AIT ERKHA
6;"81130505";;CHOUIHIA
9;"163310513";;TAZROUTE
10;"161510903";;ASJEN
11;"163310313";;SOUK TOLBA
12;"165710317";;SADDINA
13;"155310711";;FENNASSA BAB EL HIT
14;"45410901";;AHMAR LAGLALCHA
15;"93710103";;AIN HARROUDA
16;"45410527";;SIDI BOUMOUSSA
17;"102910707";;EZZHILIGA
18;"35510501";;AGUINANE
19;"44010513";;AIT YOUL
20;"120910709";;FOUM EL ANCEUR
21;"120810715";;SIDI BOULKHALF
22;"45870337";;TAMEZMOUTE
23;"45410437";;OUZIOUA
24;"114310907";;HRARA
25;"63110715";;OULAD BOUGHADI
26;"133010701";;AGHBALOU
27;"114310315";;SIDI ETTIJI
28;"163310303";;KSAR BJIR
29;"133010705";;AIT AYACH
33;"163310317";;ZOUADA
34;"114310901";;AYIR
35;"54810705";;MASMOUDA
36;"114310701";;ATOUABET
37;"161510515";;TANAQOUB
40;"114310511";;JNANE BOUIH
41;"161510911";;ZOUMI
42;"45810705";;BOUTROUCH
43;"161510713";;TIZGANE
44;"111810723";;LMECHREK
45;"54810315";;SIDI AMEUR AL HADI
46;"73510507";;SAADA
47;"132010905";;GUERS TIAALLALINE
48;"162270321";;TAGHRAMT
49;"111810707";;JABRIA
50;"132010505";;ASSOUL
51;"54810719";;ZGHIRA
52;"133010709";;AIT IZDEG
53;"161510309";;BNI RZINE
54;"45810501";;ARBAA AIT ABDELLAH
56;"163310305";;LAOUAMRA
57;"82750305";;GUENFOUDA
58;"54810707";;MZEFROUNE
59;"93550305";;SIDI HAJJAJ OUED HASSAR
60;"44010517";;IKNIOUEN
61;"132010901";;EN-NZALA
62;"163310301";;BOU JEDYANE
63;"161510505";;BNI FAGHLOUM
64;"161510901";;AIN BEIDA
65;"64610527";;SIDI ABDELKHALEQ
67;"161510705";;BNI SELMANE
68;"161510703";;BNI MANSOUR
70;"111811109";;SANIAT BERGUIG
71;"93850305";;OULAD SALAH
72;"114310305";;LABKHATI
73;"114310505";;ESBIAAT
74;"130610501";;DKHISSA
75;"114310507";;IGHOUD
76;"64610511";;LAGHNIMYINE
77;"64610531";;SIDI RAHAL CHATAI
78;"64610823";;RIAH
79;"83810907";;BOUDINAR
80;"162270305";;ANJRA
81;"64610821";;OULED ZIDANE
82;"132710307";;SIDI EL MAKHFI
84;"111810305";;LAGHDIRA
85;"133010711";;AMERSID
86;"83810921";;TAFERSIT
87;"85330713";;MESTEGMER
88;"71910311";;HIADNA
90;"161510501";;BAB TAZA
91;"114310307";;LAHDAR
93;"133010525";;SIDI LAMINE
94;"111810303";;HAOUZIA
95;"114310703";;EL GHIATE
96;"165710501";;AL HAMRA
97;"165710319";;SOUK KDIM
98;"120810507";;BZOU
99;"155310303";;GALAZ
100;"45410303";;AIT ABDALLAH
101;"45410429";;LAMHARA
102;"105010505";;SABBAH
103;"45811109";;OUIJJANE
104;"45410521";;LAMHADI
105;"45410449";;TAFINGOULT
106;"70410317";;TAMAGUERT
107;"45410319";;SIDI MZAL
108;"45870913";;BOUZEROUAL
109;"45870945";;TINZOULINE
110;"93710303";;ECH-CHALLALATE
111;"141310305";;ALMIS MARMOUCHA
112;"45410459";;TIGOUGA
114;"45410919";;IDA OU MOUMEN
118;"45410945";;SIDI DAHMANE
119;"52810907";;MOULAY BOUSSELHAM
120;"105010311";;SIDI YAHYA ZAER
121;"71910307";;EL MARBOUH
122;"155310713";;KHLALFA
124;"45810317";;TNINE ADAY
125;"45410423";;IGLI
126;"45811111";;REGGADA
127;"150510511";;CHAKRANE
128;"93710305";;SIDI MOUSSA BEN ALI
129;"105010301";;EL MENZEH
130;"102910713";;MARCHOUCH
131;"155310511";;MKANSA
132;"45810305";;ARBAA AIT AHMED
133;"45811115";;TNINE AGLOU
134;"155310719";;TAMEDIT
138;"45810901";;AFELLA IGHIR
139;"141310703";;ERMILA
140;"155310905";;AIN MAATOUF
142;"114310313";;SIDI AISSA
143;"102910701";;AIN SBIT
144;"155611305";;BNI LENT
145;"165710505";;AL OUED
147;"114310903";;DAR SI AISSA
148;"71910531";;ZEMRANE
149;"111810905";;METTOUH
151;"63110507";;LAGFAF
152;"45870327";;OULAD YAHIA LAGRAIRE
154;"45410711";;AZRAR
155;"45810905";;AMMELNE
156;"150510717";;MOULAY AHMED CHERIF
157;"150510713";;ISSAGUEN
158;"155310901";;AIN AICHA
159;"52810313";;SIDI TAIBI
160;"133010729";;ZAIDA
161;"93550303";;LAHRAOUYINE
162;"161510323";;TAMOROT
163;"54810715";;SIDI REDOUANE
164;"45810315";;TIZOUGHRANE
165;"45810307";;IDA OU GOUGMAR
166;"120810911";;BIN EL OUIDANE
167;"120810311";;TAMDA NOUMERCID
168;"132010707";;LKHENG
169;"132010503";;AMELLAGOU
170;"141310501";;KSABI MOULOUYA
172;"82750303";;GAFAIT
173;"82750321";;TIOULI
174;"82510311";;TALSINT
175;"132011307";;GHERIS EL OULOUI
176;"102910303";;AIT OURIBEL
178;"132010705";;ER-RTEB
179;"120910511";;SIDI AISSA BEN ALI
180;"54810709";;OUNNANA
181;"132010903";;GOURRAMA
182;"133010719";;MIBLADEN
183;"155610517";;TADDART
184;"70410325";;TIGHEDOUINE
185;"63110719";;OULAD FTATA
186;"52810505";;DAR BEL AMRI
187;"54810717";;TEROUAL
188;"132010113";;MOULAY ALI CHERIF
189;"54810305";;KHNICHET
190;"102910705";;BRACHOUA
191;"141310317";;TALZEMT
192;"142318101";;OULAD TAYEB
193;"120910513";;Sidi Hammadi
194;"73510511";;Souihla
201;"9913583211";ERFOUD;ERFOUD
202;"9952047672";CASABLANCA;CASABLANCA
203;"9994834861";TAMESNA;TAMESNA
204;"9932325745";BOUJAAD;BOUJAAD
205;"9976976990";Casablanca Settat;Casablanca Settat
206;"9951847594";AGDAL RIYAD;AGDAL RIYAD
207;"9991334842";MEKNES;MEKNES
208;"9945079828";TEMARA;TEMARA
209;"9910001019";MRIRT;MRIRT
210;"9912931109";OULED TEIMA;OULED TEIMA
211;"9971526686";FES;FES
212;"9985480956";AIN AOUDA;AIN AOUDA
